batter,balls_faced,avg_residual,actual_rpb,expected_rpb,weight,final_score
SM Pollock,133,-0.07409065347361318,0.8195488721804511,0.8936395256540643,4.890349128221754,-0.3623291626240643
CZ Harris,172,-0.07064830228621706,0.6744186046511628,0.7450669069373799,5.147494476813453,-0.3636617458145495
MP Stoinis,148,-0.07307192488824611,0.8986486486486487,0.9717205735368948,4.997212273764115,-0.36515591991911295
EJG Morgan,397,-0.06739549849594852,0.7657430730478589,0.8331385715438074,5.983936280687191,-0.4032903686049053
Imam-ul-Haq,188,-0.0771470796238514,0.6276595744680851,0.7048066540919364,5.236441962829949,-0.4039762050521188
MM Ali,176,-0.07881043592491792,0.75,0.8288104359249179,5.170483995038151,-0.40748809759176785
Javed Omar,112,-0.08942617113142733,0.4017857142857143,0.4912118854171416,4.718498871295094,-0.42195728754788175
IJL Trott,311,-0.07591024295616891,0.6977491961414791,0.773659439097648,5.739792912179234,-0.43570907448162194
MS Dhoni,669,-0.0681346370202991,0.8804185351270553,0.9485531721473545,6.505784060128229,-0.44326923546928454
Mushfiqur Rahim,837,-0.06792259775985088,0.6726403823178017,0.7405629800776526,6.729824070489475,-0.45710713333441894
SR Tendulkar,369,-0.07736171690673346,0.6693766937669376,0.7467384106736711,5.910796644040527,-0.45726937666953343
Mohammad Rafique,157,-0.09403647321867106,0.643312101910828,0.737348575129499,5.056245805348308,-0.47547152326165404
SO Tikolo,422,-0.07903127534287599,0.5497630331753555,0.6287943085182315,6.045005314036012,-0.47774447942272863
TWM Latham,222,-0.08906112749651764,0.7207207207207207,0.8097818482172383,5.402677381872279,-0.48116853912947916
AN Kervezee,132,-0.09956134730162784,0.45454545454545453,0.5541068018470824,4.882801922586371,-0.48613833801967776
JF Kloppenburg,167,-0.09529822522915353,0.5868263473053892,0.6821245725345428,5.117993812416755,-0.4877357270571061
NJ Astle,170,-0.0965499279662113,0.788235294117647,0.8847852220838583,5.135798437050262,-0.4958609691461834
Younis Khan,277,-0.08867294431636868,0.7436823104693141,0.8323552547856827,5.6240175061873385,-0.49869819116043257
ZE Surkari,153,-0.099525472723591,0.40522875816993464,0.5047542308935257,5.030437921392435,-0.5006567121332606
Khaled Mashud,154,-0.09947006816397036,0.4935064935064935,0.5929765616704639,5.0369526024136295,-0.5010260187007716
Abdul Razzaq,151,-0.10076910003063773,0.6490066225165563,0.7497757225471939,5.017279836814924,-0.5055867737577049
BB McCullum,179,-0.09975610096649942,0.7821229050279329,0.8818790059944324,5.187385805840755,-0.5174733821996363
CR Woakes,243,-0.09508612755162109,0.9218106995884774,1.0168968271400984,5.493061443340548,-0.5223139410503712
SP Patil,234,-0.09764454419771772,0.5555555555555556,0.6532000997532733,5.455321115357702,-0.5326823437612879
AJ Stewart,176,-0.1052032786027881,0.6647727272727273,0.7699760058755153,5.170483995038151,-0.5439518682412554
AR Cusack,125,-0.11568115710440173,0.776,0.8916811571044018,4.8283137373023015,-0.5585449199942086
Misbah-ul-Haq,539,-0.09176214470865748,0.7569573283858998,0.8487194730945572,6.289715570908998,-0.5771577903940477
A Flintoff,363,-0.09809534333553271,0.6831955922865014,0.781290935622034,5.8944028342648505,-0.5782134697851476
Saeed Anwar,139,-0.117348603825536,0.5971223021582733,0.7144709059838094,4.9344739331306915,-0.5790536266663879
RS Bopara,389,-0.09754827363346166,0.7197943444730077,0.8173426181064694,5.963579343618446,-0.5817368696461519
UT Khawaja,175,-0.11344403029866633,0.8285714285714286,0.9420154588700949,5.1647859739235145,-0.585914136511906
MS Atapattu,182,-0.11480665892847305,0.6043956043956044,0.7192022633240774,5.204006687076795,-0.5974546207847187
Yuvraj Singh,649,-0.09386067999068086,0.8428351309707242,0.936695810961405,6.47543271670409,-0.6077885180237478
LRPL Taylor,556,-0.0997445837023806,0.6690647482014388,0.7688093319038195,6.320768294250582,-0.6304624021892307
Imrul Kayes,160,-0.12914386743187448,0.54375,0.6728938674318744,5.075173815233827,-0.6554275743882779
AS Hansra,380,-0.11108815722308933,0.5552631578947368,0.6663513151178262,5.940171252720432,-0.6598826780542828
Habibul Bashar,191,-0.12997453463799308,0.45549738219895286,0.585471916836946,5.25227342804663,-0.6826617946018574
